"Date","Open","High","Low","Close","Adj.Close","Volume","sma","pricevolatility"
"2016-08-24",132000,135500,131500,135500,103543.96875,725511,133850,4000
"2016-08-25",136000,138000,134000,136500,104308.125,880226,133825,4000
"2016-08-26",136500,137000,135000,135500,103543.96875,426273,133800,2000
"2016-08-29",134000,134500,133000,134000,102397.7265625,328229,133900,1500
"2016-08-30",133500,135000,132500,132500,101251.484375,331306,133750,2500
"2016-08-31",132000,133500,131000,133000,101633.5625,621524,133700,2500
"2016-09-01",133000,133500,131500,131500,100487.3125,572941,133675,2000
"2016-09-02",132500,136500,132000,135000,103161.890625,1129376,133900,4500
"2016-09-05",136000,139000,136000,139000,106218.5234375,681920,134200,3000
"2016-09-06",138500,140000,138000,139500,106600.6171875,455216,134525,2000
"2016-09-07",139500,140500,138000,139000,106218.5234375,515978,134650,2500
"2016-09-08",139000,140000,136500,139000,106218.5234375,604332,134900,3500
"2016-09-09",138000,140000,137500,139500,106600.6171875,430914,135150,2500
"2016-09-12",138500,139500,137500,138500,105836.4453125,447847,135275,2000
"2016-09-13",140000,140500,138000,138500,105836.4453125,560421,135550,2500
"2016-09-19",137000,139500,136000,137000,104690.1953125,536712,135650,3500
"2016-09-20",137000,139500,136500,138500,105836.4453125,517081,135950,3000
"2016-09-21",137500,138500,136500,138000,105454.3671875,464658,136225,2000
"2016-09-22",138000,139500,137500,138000,105454.3671875,360424,136525,2000
"2016-09-23",139500,142000,139000,142000,108510.9921875,595938,137000,3000
"2016-09-26",140500,141500,139000,140500,107364.765625,444564,137250,2500
"2016-09-27",140000,142000,138500,141500,108128.9453125,451975,137500,3500
"2016-09-28",141000,141500,138000,138500,105836.4453125,513300,137650,3500
"2016-09-29",138500,139500,138000,139500,106600.6171875,473726,137925,1500
"2016-09-30",138500,139500,135000,135500,103543.96875,617732,138075,4500
"2016-10-04",138500,141000,137500,139000,106218.5234375,707562,138375,3500
"2016-10-05",137500,140500,136500,140000,106982.703125,549606,138800,4000
"2016-10-06",139000,140000,138500,139000,106218.5234375,271808,139000,1500
"2016-10-07",138500,139000,135500,136500,104308.125,449894,138875,3500
"2016-10-10",134000,135000,131000,133500,102015.640625,687120,138575,4000
"2016-10-11",135000,135500,133500,134500,102779.8046875,355273,138350,2000
"2016-10-12",134500,137000,133500,136500,104308.125,418529,138225,3500
"2016-10-13",136500,137000,133500,134000,102397.7265625,444173,137950,3500
"2016-10-14",133500,135000,133000,133000,101633.5625,385561,137675,2000
"2016-10-17",134500,136500,133000,133000,101633.5625,552827,137400,3500
"2016-10-18",133500,135500,132500,134500,102779.8046875,357363,137275,3000
"2016-10-19",134500,135500,132500,133000,101633.5625,474445,137000,3000
"2016-10-20",133500,134000,131500,132000,100869.3828125,411425,136700,2500
"2016-10-21",132500,135000,132000,133500,102015.640625,375157,136475,3000
"2016-10-24",134500,134500,133500,134500,102779.8046875,256889,136100,1000
"2016-10-25",135000,139500,134500,138000,105454.3671875,863431,135975,5000
"2016-10-26",137500,138500,135000,137500,105072.296875,551856,135775,3500
"2016-10-27",139000,139500,135500,138000,105454.3671875,503571,135750,4000
"2016-10-28",138000,141500,137500,140500,107364.765625,708752,135800,4000
"2016-10-31",139000,141000,139000,140000,106982.703125,394472,136025,2000
"2016-11-01",141000,141500,140000,141500,108128.9453125,436941,136150,1500
"2016-11-02",141000,141500,139500,139500,106600.6171875,655976,136125,2000
"2016-11-03",139500,140000,136000,136500,104308.125,520972,136000,4000
"2016-11-04",136500,137000,135500,136000,103926.0234375,345493,135975,1500
"2016-11-07",137500,138000,136000,137000,104690.1953125,388228,136150,2000
"2016-11-08",137500,139500,137000,138500,105836.4453125,341446,136350,2500
"2016-11-09",138000,140000,130500,134000,102397.7265625,1054746,136225,9500
"2016-11-10",135000,135000,129000,129000,98576.9140625,1253550,135975,6000
"2016-11-11",130000,132000,130000,131500,100487.3125,571291,135900,2000
"2016-11-14",132000,134000,131000,132000,100869.3828125,369913,135850,3000
"2016-11-15",131500,132000,129500,130500,99723.140625,416685,135650,2500
"2016-11-16",130500,133500,130000,131000,100105.234375,379475,135550,3500
"2016-11-17",131000,133000,131000,132000,100869.3828125,217101,135550,2000
"2016-11-18",131500,132000,129500,129500,98958.9921875,282286,135350,2500
"2016-11-21",130000,133500,129500,133500,102015.640625,392922,135300,4000
"2016-11-22",133500,134500,132500,133500,102015.640625,366844,135075,2000
"2016-11-23",134500,135000,132500,134000,102397.7265625,292727,134900,2500
"2016-11-24",133500,136000,133000,135000,103161.890625,340767,134750,3000
"2016-11-25",135500,136000,134500,136000,103926.0234375,180033,134525,1500
"2016-11-28",135000,136000,133500,135000,103161.890625,256341,134275,2500
"2016-11-29",133000,135500,133000,134500,102779.8046875,312216,133925,2500
"2016-11-30",133500,134500,132500,133000,101633.5625,1188767,133600,2000
"2016-12-01",133000,135500,132000,132000,100869.3828125,478362,133375,3500
"2016-12-02",134000,136000,133000,133500,102015.640625,403575,133250,3000
"2016-12-05",134500,135500,133000,134000,102397.7265625,244209,133100,2500
"2016-12-06",135500,137000,135000,136500,104308.125,374760,133000,2000
"2016-12-07",138000,138000,136500,136500,104308.125,279131,133125,1500
"2016-12-08",138500,142000,138000,142000,108510.9921875,889649,133775,4000
"2016-12-09",142000,145000,141000,144000,110039.3125,647418,134400,4000
"2016-12-12",146000,148000,143500,144500,110421.4375,378077,135025,4500
"2016-12-13",144500,145000,142500,145000,110803.515625,283933,135750,2500
"2016-12-14",144500,145000,142000,143500,109657.28125,261384,136375,3000
"2016-12-15",142000,143000,141000,142000,108510.9921875,285737,136875,2000
"2016-12-16",141000,142000,139000,139500,106600.6171875,523767,137375,3000
"2016-12-19",140000,142500,139500,142000,108510.9921875,293868,137800,3000
"2016-12-20",141500,144000,141500,143500,109657.28125,399511,138300,2500
"2016-12-21",144500,144500,142500,143500,109657.28125,310188,138775,2000
"2016-12-22",143000,143000,141000,142000,108510.9921875,334338,139125,2000
"2016-12-23",143000,144000,142000,144000,110039.3125,357914,139525,2000
"2016-12-26",143500,145000,143500,144500,110421.4375,206099,140000,1500
"2016-12-27",144500,145000,144000,144500,110421.4375,337224,140500,1000
"2016-12-28",142500,144000,141500,143500,111982.1640625,377265,141025,2500
"2016-12-29",142500,146000,142000,146000,113933.0390625,381283,141725,4000
"2017-01-02",146000,150500,145500,150000,117054.5,545854,142550,5000
"2017-01-03",151000,154000,150000,153000,119395.59375,723246,143500,4000
"2017-01-04",152500,155000,152000,154000,120175.9375,601826,144375,3000
"2017-01-05",154000,154500,152000,153500,119785.7421875,391604,145225,2500
"2017-01-06",152000,153000,149500,151000,117834.8671875,366091,145675,3500
"2017-01-09",151000,151500,149500,150500,117444.703125,325146,146000,2000
"2017-01-10",150500,153000,150500,152000,118615.25,411333,146375,2500
"2017-01-11",150500,150500,147500,148500,115883.9375,675973,146550,3000
"2017-01-12",148000,151000,147500,148000,115493.765625,433867,146775,3500
"2017-01-13",149000,150000,148500,149000,116274.140625,293211,147125,1500
"2017-01-16",148500,151000,148500,150500,117444.703125,316413,147675,2500
"2017-01-17",150000,154000,149500,153500,119785.7421875,487662,148250,4500
"2017-01-18",153000,155500,151000,154000,120175.9375,395088,148775,4500
"2017-01-19",153000,153500,151000,152000,118615.25,255111,149200,2500
"2017-01-20",150500,153500,150000,153000,119395.59375,310228,149750,3500
"2017-01-23",151500,152000,148500,149000,116274.140625,424036,150000,3500
"2017-01-24",149500,149500,145500,146500,114323.25,518186,150100,4000
"2017-01-25",146500,147500,141500,142000,110811.5703125,749465,149975,6000
"2017-01-26",143500,143500,139500,142500,111201.7734375,632413,149925,4000
"2017-01-31",141500,142500,139000,139500,108860.6953125,574213,149600,3500
"2017-02-01",140000,141000,139000,139500,108860.6953125,446549,149075,2000
"2017-02-02",140000,140000,135500,136000,106129.3828125,610731,148225,4500
"2017-02-03",136500,139000,136000,137500,107299.9609375,453051,147400,3000
"2017-02-06",139000,139500,136000,136500,106519.6015625,293891,146550,3500
"2017-02-07",138000,140000,137500,139000,108470.5078125,395508,145950,2500
"2017-02-08",138500,139500,137000,139000,108470.5078125,415346,145375,2500
"2017-02-09",139500,141000,137500,140000,109250.875,513611,144775,3500
"2017-02-10",141000,141500,139000,141000,110031.25,330000,144400,2500
"2017-02-13",141500,141500,139000,139500,108860.6953125,320997,143975,2500
"2017-02-14",140000,140500,139500,140000,109250.875,295126,143525,1000
"2017-02-15",141500,146500,141500,145500,113542.8828125,682399,143275,5000
"2017-02-16",146500,151500,146500,150500,117444.703125,991329,143125,5000
"2017-02-17",149500,151000,148000,150500,117444.703125,484244,142950,3000
"2017-02-20",149500,151000,149500,150000,117054.5,239916,142850,1500
"2017-02-21",150000,151500,149000,151000,117834.8671875,324845,142750,2500
"2017-02-22",150000,151000,147000,149500,116664.3203125,423978,142775,4000
"2017-02-23",150500,150500,145000,146000,113933.0390625,790326,142750,5500
"2017-02-24",147000,148500,146500,148000,115493.765625,248236,143050,2000
"2017-02-27",148500,149000,146500,148500,115883.9375,183801,143350,2500
"2017-02-28",148500,150000,146500,149500,116664.3203125,476960,143850,3500
"2017-03-02",149000,150500,148500,148500,115883.9375,660227,144300,2000
"2017-03-03",147000,148000,141000,142000,110811.5703125,774281,144600,7000
"2017-03-06",141500,145000,140000,145000,113152.6953125,568168,144975,5000
"2017-03-07",143000,146000,143000,144000,112372.3046875,361237,145350,3000
"2017-03-08",144000,144500,141500,144500,112762.5234375,430524,145625,3000
"2017-03-09",144500,145500,143500,145000,113152.6953125,516356,145925,2000
"2017-03-10",145000,146500,143500,146000,113933.0390625,418788,146225,3000
"2017-03-13",145500,147000,145000,146000,113933.0390625,346033,146475,2000
"2017-03-14",147000,149500,146500,149000,116274.140625,402984,146950,3000
"2017-03-15",148500,149500,147500,149500,116664.3203125,415972,147425,2000
"2017-03-16",151500,152500,149000,151500,118225.0703125,511511,147725,3500
"2017-03-17",152500,152500,150000,151500,118225.0703125,384871,147775,2500
"2017-03-20",152500,157000,151500,156500,122126.8828125,753898,148075,5500
"2017-03-21",158000,171000,157500,170000,132661.765625,2100147,149075,13500
"2017-03-22",167500,170500,165500,170000,132661.765625,1095061,150025,5000
"2017-03-23",168500,169000,165000,165000,128760,786599,150800,4000
"2017-03-24",164000,167000,162000,164000,127979.6015625,619369,151700,5000
"2017-03-27",162000,163000,159000,162000,126418.875,556569,152400,4000
"2017-03-28",162000,163000,158500,160000,124858.1484375,528384,152975,4500
"2017-03-29",159500,160500,155500,156000,121736.6796875,594310,153300,5000
"2017-03-30",156500,160000,156500,158500,123687.5859375,541928,153800,3500
"2017-03-31",159500,160500,156000,157500,122907.234375,518427,154575,4500
"2017-04-03",156500,157000,153000,156500,122126.8828125,568863,155150,4000
"2017-04-04",154000,155000,150000,152000,118615.25,693275,155550,5000
"2017-04-05",152500,152500,147000,150000,117054.5,738030,155825,5500
"2017-04-06",149500,150000,147500,148000,115493.765625,543682,155975,2500
"2017-04-07",148000,149500,144000,144500,112762.5234375,814773,155900,5500
"2017-04-10",145000,147500,144500,146000,113933.0390625,372373,155900,3000
"2017-04-11",145000,145000,142500,142500,111201.7734375,460813,155575,2500
"2017-04-12",143000,144500,141500,141500,110421.4296875,467523,155175,3000
"2017-04-13",143000,144500,141000,142500,111201.7734375,537212,154725,3500
"2017-04-14",141500,143000,141000,142500,111201.7734375,235481,154275,2000
"2017-04-17",142500,144000,141000,144000,112372.3046875,354807,153650,3000
"2017-04-18",144500,144500,141000,141000,110031.25,512212,152200,3500
"2017-04-19",140000,140500,136500,137000,106909.7734375,1028582,150550,4000
"2017-04-20",137000,142000,137000,141500,110421.4296875,837678,149375,5000
"2017-04-21",142000,143000,141000,141500,110421.4296875,520179,148250,2000
"2017-04-24",141000,141500,139500,141500,110421.4296875,474698,147225,2000
"2017-04-25",142500,146500,142000,144500,112762.5234375,670239,146450,4500
"2017-04-26",145000,152000,144500,151000,117834.8671875,1288277,146200,7500
"2017-04-27",150000,151000,146500,147000,114713.4140625,747891,145625,4500
"2017-04-28",144000,146000,142500,144000,112372.3046875,686242,144950,3500
"2017-05-02",143000,152000,143000,151000,117834.8671875,883476,144675,9000
"2017-05-04",150500,153000,149500,152000,118615.25,559335,144675,3500
"2017-05-08",152000,158000,150500,158000,123297.390625,754482,145075,7500
"2017-05-10",157000,160500,155500,156500,122126.8828125,902973,145500,5000
"2017-05-11",159000,159000,156500,157500,122907.234375,683676,146150,2500
"2017-05-12",156000,157000,153500,155000,120956.3125,546718,146600,3500
"2017-05-15",153000,156000,152000,154000,120175.9375,320821,147175,4000
"2017-05-16",155000,158000,154500,157500,122907.234375,479777,147975,3500
"2017-05-17",156000,159000,155000,158500,123687.5859375,344159,148775,4000
"2017-05-18",158000,166500,157500,165000,128760,1274106,149900,9000
"2017-05-19",167000,171000,160000,170000,132661.765625,1889722,151200,11000
"2017-05-22",169000,171000,167000,170000,132661.765625,679426,152650,4000
"2017-05-23",170000,173000,169000,170000,132661.765625,649405,154300,4000
"2017-05-24",168500,170000,163500,164000,127979.6015625,876331,155425,6500
"2017-05-25",164500,167000,163500,165000,128760,627476,156600,3500
"2017-05-26",165500,166500,163000,163500,127589.3984375,487868,157700,3500
"2017-05-29",163000,165000,161500,162000,126418.875,405130,158575,3500
"2017-05-30",162500,165500,161000,164000,127979.6015625,393584,159225,4500
"2017-05-31",162500,166000,162500,163000,127199.203125,568084,160025,3500
"2017-06-01",162500,166500,162500,165500,129150.1328125,439229,161100,4000
"2017-06-02",164500,165000,160500,163000,127199.203125,571120,161700,4500
"2017-06-05",163500,165500,161000,161500,126028.671875,371037,162175,4500
"2017-06-07",160000,160000,157000,159000,124077.765625,746365,162225,3000
"2017-06-08",159000,161000,158500,160000,124858.1484375,548233,162400,2500
"2017-06-09",160000,161000,158500,160000,124858.1484375,343795,162525,2500
"2017-06-12",158000,163500,158000,162500,126809.046875,390351,162900,5500
"2017-06-13",163000,167000,162000,164500,128369.78125,548527,163425,5000
"2017-06-14",165000,170000,164500,169000,131881.40625,638693,164000,5500
"2017-06-15",168000,169000,162000,163000,127199.203125,668866,164225,7000
"2017-06-16",163500,165000,162500,165000,128760,310581,164225,2500
"2017-06-19",164500,168000,163500,167000,130320.6796875,335858,164075,4500
"2017-06-20",166000,169000,165000,166500,129930.484375,373530,163900,4000
"2017-06-21",166000,166000,160000,160500,125248.3359375,557266,163425,6000
"2017-06-22",162000,162000,160000,161500,126028.671875,401279,163300,2000
"2017-06-23",162000,166000,162000,164000,127979.6015625,292130,163250,4000
"2017-06-26",163000,165000,162000,164000,127979.6015625,211301,163275,3000
"2017-06-27",163000,163500,160000,160500,125248.3359375,449056,163200,3500
"2017-06-28",160000,162500,159500,160000,124858.1484375,347569,163000,3000
"2017-06-29",159500,162500,159000,161000,126428.671875,400255,162900,3500
"2017-06-30",159500,162000,158000,159500,125250.7734375,337644,162600,4000
"2017-07-03",158500,164000,158000,163500,128391.84375,392228,162625,6000
"2017-07-04",162500,162500,157500,158500,124465.5,448579,162475,5000
"2017-07-05",158000,159000,155000,156000,122502.3125,533353,162325,4000
"2017-07-06",156500,157000,155000,155500,122109.71875,380091,162100,2000
"2017-07-07",153500,154500,150500,151500,118968.6171875,857341,161675,4000
"2017-07-10",151000,151500,147500,148000,116220.1640625,805494,160950,4000
"2017-07-11",148500,150000,146500,148000,116220.1640625,592204,160125,3500
"2017-07-12",149000,151000,148000,149000,117005.40625,592811,159125,3000
"2017-07-13",150000,151500,148000,149000,117005.40625,609170,158425,3500
"2017-07-14",150000,154500,149500,154000,120931.765625,776297,157875,5000
"2017-07-17",153500,154000,149500,150500,118183.3515625,503286,157050,4500
"2017-07-18",151000,151500,147000,148000,116220.1640625,531137,156125,4500
"2017-07-19",148500,149500,147000,148500,116612.7890625,480211,155525,2500
"2017-07-20",149000,149000,145000,148000,116220.1640625,482332,154850,4000
"2017-07-21",148000,148000,146500,147500,115827.5234375,303019,154025,1500
"2017-07-24",148000,148000,144500,145000,113864.3515625,558419,153075,3500
"2017-07-25",145000,147500,144500,146000,114649.6171875,769128,152350,3000
"2017-07-26",147000,150000,146500,148000,116220.1640625,1000733,151750,3500
